provider_id,claim_count,total_allowed,total_paid,avg_processing_days,denied_count,denial_rate
5111,323,621700.66,338502.67,23.845201238390093,86,26.6
5064,327,670514.2,372009.64,24.6697247706422,87,26.6
5076,332,677031.99,387072.26,24.617469879518072,87,26.2
5056,316,625200.77,350585.44,25.11392405063291,77,24.4
5057,344,707217.65,412795.99,24.776162790697676,83,24.1
5100,312,632284.44,350601.68,23.55128205128205,75,24.0
5038,314,597655.09,350610.09,24.143312101910826,75,23.9
5033,352,705380.93,390392.73,24.505681818181817,84,23.9
5086,337,651205.4,364147.65,25.258160237388726,79,23.4
5040,335,687360.09,406005.96,25.17313432835821,78,23.3
5060,340,671427.69,393276.91,24.129411764705882,79,23.2
5147,332,652375.42,386381.67,25.180722891566266,76,22.9
5024,293,576771.88,329584.29,23.832764505119453,67,22.9
5021,324,657748.6,390118.17,25.188271604938272,74,22.8
5124,338,672634.35,392064.29,24.36094674556213,76,22.5
5046,352,711857.3,411993.2,24.085227272727273,79,22.4
5087,353,695004.43,401854.71,24.637393767705383,79,22.4
5031,326,627536.53,363865.35,24.690184049079754,73,22.4
5140,380,748560.01,438405.09,24.305263157894736,85,22.4
5022,349,688364.47,380587.2,24.20916905444126,78,22.3
5051,354,675248.38,404355.69,24.7090395480226,79,22.3
5075,316,631086.07,381276.65,25.25632911392405,70,22.2
5053,329,653442.56,377268.9,24.826747720364743,73,22.2
5048,302,608666.29,359426.0,24.685430463576157,67,22.2
5132,289,539608.56,318188.93,25.048442906574394,64,22.1
5042,308,577842.55,324135.01,24.68831168831169,68,22.1
5016,345,658424.59,376407.26,22.776811594202897,76,22.0
5092,314,613702.89,362288.93,25.159235668789808,69,22.0
5088,338,675107.54,401632.45,25.43491124260355,74,21.9
5106,329,619997.03,365931.85,24.416413373860184,72,21.9
5006,343,688033.04,411621.58,25.591836734693878,75,21.9
5032,315,621992.58,354622.81,23.93015873015873,69,21.9
5065,349,704656.66,402840.05,23.464183381088827,76,21.8
5015,337,721325.53,446375.77,24.664688427299705,73,21.7
5093,313,610398.15,344611.52,23.824281150159745,68,21.7
5107,336,657631.8,398641.7,23.94047619047619,73,21.7
5128,309,596808.56,355976.76,23.857605177993527,67,21.7
5019,315,601682.26,355861.04,24.428571428571427,68,21.6
5114,329,625277.88,373270.28,24.25531914893617,71,21.6
5101,371,701528.3,403562.23,24.830188679245282,80,21.6
5077,354,709132.0,425588.68,24.361581920903955,76,21.5
5044,317,654889.52,397572.19,23.65615141955836,68,21.5
5052,316,613435.81,367554.08,24.93354430379747,68,21.5
5012,351,698331.3099999999,405790.16,23.82336182336182,75,21.4
5130,336,651642.58,389532.34,24.732142857142858,72,21.4
5145,351,697044.63,391623.19,24.15099715099715,75,21.4
5005,308,612691.6,360691.32,24.8474025974026,66,21.4
5096,361,747530.47,442343.46,24.132963988919666,77,21.3
5136,324,648661.26,387237.72,23.858024691358025,69,21.3
5073,311,626202.75,376421.46,24.819935691318328,66,21.2
5014,320,634460.79,386963.57,23.525,68,21.2
5030,318,618524.47,381881.96,24.468553459119498,67,21.1
5104,329,651571.12,362158.81,24.37386018237082,69,21.0
5072,345,710613.35,434330.21,23.66376811594203,72,20.9
5134,335,700861.07,392435.2,24.31641791044776,70,20.9
5115,382,770461.55,448919.44,24.23821989528796,80,20.9
5150,344,686649.25,395018.6,23.941860465116278,72,20.9
5043,301,590919.45,330899.84,25.27574750830565,63,20.9
5007,339,656492.79,380408.11,24.781710914454276,71,20.9
5084,356,716316.93,436179.2,23.882022471910112,74,20.8
5082,351,726416.99,444769.94,24.492877492877493,73,20.8
5070,308,605987.36,365475.17,23.824675324675326,64,20.8
5091,353,697510.52,418791.09,24.597733711048157,73,20.7
5142,349,657945.88,372846.25,24.29512893982808,72,20.6
5029,369,733432.25,443760.78,25.048780487804876,76,20.6
5129,352,683551.95,394438.0,24.769886363636363,72,20.5
5090,336,664201.01,389248.43,24.00297619047619,69,20.5
5028,323,632828.84,365589.16,25.068111455108358,66,20.4
5103,357,714905.48,421154.88,25.41736694677871,73,20.4
5027,375,762400.94,445192.75,23.986666666666668,76,20.3
5120,359,730114.39,444310.93,24.62116991643454,73,20.3
5025,336,684463.67,419864.93,25.157738095238095,68,20.2
5083,331,652209.9,377197.61,25.27190332326284,67,20.2
5050,342,685891.81,413150.77,24.0906432748538,69,20.2
5135,332,653142.77,396024.53,24.0,67,20.2
5080,353,657355.0599999999,402457.31,24.943342776203966,71,20.1
5085,308,591119.02,355355.54,24.857142857142858,62,20.1
5137,315,641459.6900000001,381028.44,25.752380952380953,63,20.0
5089,307,565557.23,353756.22,25.439739413680783,61,19.9
5138,316,624866.77,370028.12,24.303797468354432,63,19.9
5146,336,650317.83,390087.43,23.729166666666668,67,19.9
5002,311,629647.68,367611.67,24.906752411575564,62,19.9
5018,321,632317.74,387961.81,24.414330218068535,64,19.9
5116,334,623682.94,379332.66,23.736526946107784,66,19.8
5143,373,773896.83,469812.82,25.335120643431637,74,19.8
